Date,NO3int
2017-07-20,233.7258223022584
2017-07-21,232.00287979716714
2017-07-22,163.68062113925157
2017-07-23,231.71304252802383
2017-07-24,221.42402694015988
2017-07-25,214.19524092899593
2017-07-26,260.404763410611
2017-07-27,272.0975330125876
2017-07-28,276.1476845010604
2017-07-29,288.38229240989847
2017-07-30,260.56834706715415
2017-07-31,318.3339001435187
2017-08-01,288.63598236892176
2017-08-02,278.29653723955124
2017-08-03,273.7515927403518
2017-08-04,237.6053968983092
2017-08-05,227.16645169769632
2017-08-06,250.92787955539836
2017-08-07,226.18029800279476
2017-08-08,297.2688067815562
2017-08-09,247.33464899069796
2017-08-10,224.52363680929597
2017-08-11,268.9227725645166
2017-08-12,296.2082732545165
2017-08-13,276.7116274466611
2017-08-14,287.90290766230777
2017-08-15,345.53887424018967
2017-08-16,337.5210922515003
2017-08-17,339.46674766442317
2017-08-18,324.10750049930914
2017-08-19,366.6505344420562
2017-08-20,325.098283592055
2017-08-21,314.5421359410229
2017-08-22,324.9061820110417
2017-08-23,340.487971718072
2017-08-24,310.1942182853323
2017-08-25,301.61239065965185
2017-08-26,324.4046186297126
2017-08-27,329.2132574708851
2017-08-28,302.95761750114735
2017-08-29,311.20171744287734
2017-08-30,278.16702402033997
2017-08-31,286.8729314270889
2017-09-01,307.67531474502533
2017-09-02,337.4416358971717
2017-09-03,308.1771333744305
2017-09-04,318.48306682606994
2017-09-05,329.7515558536138
2017-09-06,317.0992725668661
2017-09-07,320.6616548836842
2017-09-08,289.52148613811886
2017-09-09,274.8594649986382
2017-09-10,313.10483233460747
2017-09-11,324.262011023086
2017-09-12,303.6390645616355
2017-09-13,283.91961707489304
2017-09-14,305.8955827418996
2017-09-15,306.5686305674315
2017-09-16,290.1727724423318
2017-09-17,357.3084716206991
2017-09-18,304.3542437918118
2017-09-19,285.50334405114813
2017-09-20,302.9667349345727
2017-09-21,306.8495394008105
2017-09-22,344.98577021129586
2017-09-23,336.1008758728455
2017-09-24,337.6540335780384
2017-09-25,313.75374764092504
2017-09-26,333.92698841465835
2017-09-27,299.91811958651516
2017-09-28,373.43599955490606
2017-09-29,349.3773243397004
2017-09-30,347.4285110029108
2017-10-01,326.2942669563022
2017-10-02,365.0382682572224
2017-10-03,353.6618130260882
2017-10-04,317.31234672791953
2017-10-05,337.7130046789936
2017-10-06,316.00478509846636
2017-10-07,303.63456882450765
2017-10-08,263.105039026549
2017-10-09,286.82255741232586
2017-10-10,314.6017727720285
2017-10-11,343.2688628690821
2017-10-12,343.5814086331737
2017-10-13,358.37569708160544
2017-10-14,303.72034164084795
2017-10-15,270.1938922940781
2017-10-16,308.21002731392537
2017-10-17,338.4735629170935
2017-10-18,336.06691676769424
2017-10-19,358.500309711053
2017-10-20,362.12853152396076
2017-10-21,358.27809968352136
2017-10-22,324.79429644073474
2017-10-23,351.99220673285953
2017-10-24,283.5546009107423
2017-10-25,282.4846139293057
2017-10-26,300.4466732805292
2017-10-27,290.41684837999503
2017-10-28,256.19813836780185
2017-10-29,287.044696412998
2017-10-30,189.40556197431124
2017-10-31,257.781831622266
2017-11-01,324.6402795320311
2017-11-02,314.62255140473343
2017-11-03,304.09108615728286
2017-11-05,
2017-11-15,304.7620143857673
2017-11-20,293.46540011218895
2017-12-13,10.58377398120772
2017-12-18,284.2964631256374
2018-01-05,123.05591507277272
2018-01-10,144.59082664407651
2018-01-15,144.54120202392232
2018-02-02,60.683960832522715
2018-02-07,138.69049753162892
2018-02-12,228.30569895033935
2018-03-02,52.49033518173981
2018-03-07,89.33582978133411
2018-03-12,23.997963726284205
2018-03-30,89.50861805860258
2018-04-04,112.98091979009284
2018-04-27,42.878751034173064
2018-05-02,16.704959412625307
2018-05-25,58.184664763329394
2018-05-30,61.22810435507119
2018-06-22,64.92105668890922
2018-06-27,103.2623151545811
2018-07-20,102.33181187303126
2018-07-25,156.9194954712248
2018-07-30,77.26967514860614
2018-08-04,184.87895436559455
2018-08-07,160.31215105529867
2018-08-09,259.35556974782963
2018-08-10,187.57595134852923
2018-08-12,
2018-08-13,238.64054503305053
2018-08-14,219.1910243711205
2018-08-15,251.172202709778
2018-08-16,273.85185445396866
2018-08-17,267.79112565315165
2018-08-18,257.1851939286542
2018-08-19,263.91306232619104
2018-08-20,237.2116766729876
2018-08-21,247.17218777901795
2018-08-22,279.5999004236297
2018-08-23,239.5450558055414
2018-08-24,273.69984202988127
