depth_m,NOx_init_uM,newProd_uM_N_d-1,regProd_uM_N_d-1,station
5,0.26889492138898435,0.1598433839703022,0.1193829016285289,YS3.06
20,0.6704332089130203,0.03713714198658253,0.05075847856675698,YS3.06
5,0.34580929759077145,0.01830107935281253,0.053808026809534136,YS3.18
20,0.19537382649021737,0.0017551205071050671,0.015558962540093155,YS3.18
5,0.11619726275308366,0.03750222919901595,0.10258219345415098,Tyro10
20,0.4261169550955788,0.011164639338351712,0.04288696990219807,Tyro10
5,0.4611808618934523,0.046644167355909254,0.11920015237206372,Tyro01
20,0.2881235154394314,0.0018255937547614603,0.009977904245021527,Tyro01
5,0.07038796516231326,0.0030667262963375488,0.04438287930728885,GH01
20,0.10375523130867688,0.004916510796762947,0.02435524388520941,GH01
